ticker,name,display,country,exchange,currency,type
WEGE3.SA,WEG S.A.,🇧🇷 Weg,BR,B3,BRL,Ação
ABEV3.SA,Ambev S.A.,🇧🇷 Ambev,BR,B3,BRL,Ação
RENT3.SA,Localiza,🇧🇷 Localiza,BR,B3,BRL,Ação
SUZB3.SA,Suzano S.A.,🇧🇷 Suzano,BR,B3,BRL,Ação
ELET3.SA,Eletrobras ON,🇧🇷 Eletrobras ON,BR,B3,BRL,Ação
ELET6.SA,Eletrobras PN,🇧🇷 Eletrobras PN,BR,B3,BRL,Ação
BPAC11.SA,BTG Pactual,🇧🇷 BTG Pactual,BR,B3,BRL,Ação
EQTL3.SA,Equatorial Energia,🇧🇷 Equatorial,BR,B3,BRL,Ação
RADL3.SA,Raia Drogasil,🇧🇷 Raia Drogasil,BR,B3,BRL,Ação
PRIO3.SA,Prio S.A.,🇧🇷 Prio,BR,B3,BRL,Ação
LREN3.SA,Lojas Renner,🇧🇷 Lojas Renner,BR,B3,BRL,Ação
JBSS3.SA,JBS S.A.,🇧🇷 JBS,BR,B3,BRL,Ação
B3SA3.SA,B3 S.A.,🇧🇷 B3,BR,B3,BRL,Ação
ITSA4.SA,Itaúsa,🇧🇷 Itaúsa,BR,B3,BRL,Ação
BBSE3.SA,BB Seguridade,🇧🇷 BB Seguridade,BR,B3,BRL,Ação
VIVT3.SA,Telefônica Brasil,🇧🇷 Vivo,BR,B3,BRL,Ação
HAPV3.SA,Hapvida,🇧🇷 Hapvida,BR,B3,BRL,Ação
SANB11.SA,Santander BR,🇧🇷 Santander,BR,B3,BRL,Ação
TIMS3.SA,TIM S.A.,🇧🇷 TIM,BR,B3,BRL,Ação
KLBN11.SA,Klabin,🇧🇷 Klabin,BR,B3,BRL,Ação
GGBR4.SA,Gerdau PN,🇧🇷 Gerdau,BR,B3,BRL,Ação
CSNA3.SA,CSN,🇧🇷 CSN,BR,B3,BRL,Ação
CMIG4.SA,Cemig PN,🇧🇷 Cemig,BR,B3,BRL,Ação
MGLU3.SA,Magazine Luiza,🇧🇷 Magalu,BR,B3,BRL,Ação
CPLE6.SA,Copel PN,🇧🇷 Copel,BR,B3,BRL,Ação
ENEV3.SA,Eneva,🇧🇷 Eneva,BR,B3,BRL,Ação
EGIE3.SA,Engie Brasil,🇧🇷 Engie,BR,B3,BRL,Ação
CCRO3.SA,CCR S.A.,🇧🇷 CCR,BR,B3,BRL,Ação
SBSP3.SA,Sabesp,🇧🇷 Sabesp,BR,B3,BRL,Ação
CRFB3.SA,Carrefour Brasil,🇧🇷 Carrefour,BR,B3,BRL,Ação
ASAI3.SA,Assaí,🇧🇷 Assaí,BR,B3,BRL,Ação
BRFS3.SA,BRF S.A.,🇧🇷 BRF,BR,B3,BRL,Ação
RAIL3.SA,Rumo S.A.,🇧🇷 Rumo,BR,B3,BRL,Ação
UGPA3.SA,Ultrapar,🇧🇷 Ultrapar,BR,B3,BRL,Ação
NTCO3.SA,Natura &Co,🇧🇷 Natura,BR,B3,BRL,Ação
MULT3.SA,Multiplan,🇧🇷 Multiplan,BR,B3,BRL,Ação
CYRE3.SA,Cyrela,🇧🇷 Cyrela,BR,B3,BRL,Ação
EMBR3.SA,Embraer,🇧🇷 Embraer,BR,B3,BRL,Ação
BTC-USD,Bitcoin,₿ Bitcoin,Global,Crypto,USD,Criptomoeda
ETH-USD,Ethereum,₿ Ethereum,Global,Crypto,USD,Criptomoeda
USDT-USD,Tether,₿ Tether,Global,Crypto,USD,Criptomoeda
BNB-USD,BNB,₿ BNB,Global,Crypto,USD,Criptomoeda
SOL-USD,Solana,₿ Solana,Global,Crypto,USD,Criptomoeda
XRP-USD,XRP,₿ XRP,Global,Crypto,USD,Criptomoeda
USDC-USD,USD Coin,₿ USD Coin,Global,Crypto,USD,Criptomoeda
ADA-USD,Cardano,₿ Cardano,Global,Crypto,USD,Criptomoeda
AVAX-USD,Avalanche,₿ Avalanche,Global,Crypto,USD,Criptomoeda
DOGE-USD,Dogecoin,₿ Dogecoin,Global,Crypto,USD,Criptomoeda
DOT-USD,Polkadot,₿ Polkadot,Global,Crypto,USD,Criptomoeda
TRX-USD,TRON,₿ TRON,Global,Crypto,USD,Criptomoeda
LINK-USD,Chainlink,₿ Chainlink,Global,Crypto,USD,Criptomoeda
MATIC-USD,Polygon,₿ Polygon,Global,Crypto,USD,Criptomoeda
SHIB-USD,Shiba Inu,₿ Shiba Inu,Global,Crypto,USD,Criptomoeda
LTC-USD,Litecoin,₿ Litecoin,Global,Crypto,USD,Criptomoeda
DAI-USD,Dai,₿ Dai,Global,Crypto,USD,Criptomoeda
BCH-USD,Bitcoin Cash,₿ Bitcoin Cash,Global,Crypto,USD,Criptomoeda
UNI-USD,Uniswap,₿ Uniswap,Global,Crypto,USD,Criptomoeda
ATOM-USD,Cosmos,₿ Cosmos,Global,Crypto,USD,Criptomoeda
XLM-USD,Stellar,₿ Stellar,Global,Crypto,USD,Criptomoeda
BRL=X,USD/BRL Exchange,💵 Dólar (BRL),Global,Forex,BRL,Moeda Fiduciária
EURUSD=X,EUR/USD Exchange,💶 Euro (USD),Global,Forex,USD,Moeda Fiduciária
EURBRL=X,EUR/BRL Exchange,💶 Euro (BRL),Global,Forex,BRL,Moeda Fiduciária
GBPUSD=X,GBP/USD Exchange,💷 Libra (USD),Global,Forex,USD,Moeda Fiduciária
JPY=X,USD/JPY Exchange,💴 Iene (USD),Global,Forex,JPY,Moeda Fiduciária
CAD=X,USD/CAD Exchange,💵 Dólar Canadense,Global,Forex,CAD,Moeda Fiduciária
CHF=X,USD/CHF Exchange,💵 Franco Suíço,Global,Forex,CHF,Moeda Fiduciária
CNY=X,USD/CNY Exchange,💴 Yuan Chinês,Global,Forex,CNY,Moeda Fiduciária
SPY,SPDR S&P 500 ETF,📈 S&P 500 (ETF),US,NYSE,USD,ETF
QQQ,Invesco QQQ Trust,📈 NASDAQ 100 (ETF),US,NASDAQ,USD,ETF
DIA,SPDR Dow Jones,📈 Dow Jones (ETF),US,NYSE,USD,ETF
EWZ,iShares MSCI Brazil,📈 Ibovespa (EWZ),US,NYSE,USD,ETF
IVV,iShares Core S&P 500,📈 S&P 500 IVV,US,NYSE,USD,ETF
GLD,SPDR Gold Trust,🪙 Ouro (ETF),Global,NYSE,USD,ETF
SLV,iShares Silver Trust,🪙 Prata (ETF),Global,NYSE,USD,ETF
